id_parameter,cd_parameter,cd_configuration,cd_algorithm,ds_algorithm,cd_function,ds_function,id_device,ds_device,cd_dataset,cd_resource,nr_iterations,ds_tp_parameter,vl_dataset_row_size,vl_dataset_column_size,vl_grid_row_size,vl_grid_column_size,vl_block_row_size,vl_block_column_size,ds_status_parallelism,vl_block_size_percent_dataset,ds_resource,nr_nodes,nr_computing_units_cpu,nr_computing_units_gpu,vl_memory_per_cpu_computing_unit,vl_memory_per_gpu_computing_unit,ds_dataset,vl_dataset_memory_size,ds_data_type,vl_data_type_memory_size,vl_dataset_size,vl_dataset_row_size,vl_dataset_column_size,nr_random_state
59,30,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,2,31250,187500,8,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
60,30,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,2,31250,187500,8,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
61,31,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,2,334,18750,75,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
62,31,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,2,334,18750,75,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
63,32,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,8,1,5,VAR_BLOCK_CAPACITY_SIZE,1581,1581,2,2,1186,1186,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
64,32,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,8,1,5,VAR_BLOCK_CAPACITY_SIZE,1581,1581,2,2,1186,1186,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
65,33,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,9,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000000,1,2,2500000000,1875000000,1,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
66,33,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,9,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000000,1,2,2500000000,1875000000,1,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
67,34,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,2,31250000,187500000,8,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
68,34,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,2,31250000,187500000,8,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
69,35,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,2,333334,18750000,75,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
70,35,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,2,333334,18750000,75,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
71,36,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,2,2,37500,37500,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
72,36,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,2,2,37500,37500,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
73,37,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,1,2500,2500,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
74,37,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,1,2500,2500,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
75,38,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,1,25,250,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
76,38,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,1,25,250,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
77,39,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,1,1,25,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
